ID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,OWNER,BEDS
5793230,CENTRAL VALLEY GENERAL HOSPITAL,1025 NORTH DOUTY STREET,HANFORD,CA,93230,GENERAL ACUTE CARE,CLOSED,49,KINGS,USA,36.33615885,-119.6456673,PROPRIETARY,49
53391362,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,91362,GENERAL ACUTE CARE,OPEN,62,VENTURA,USA,34.15493887,-118.8157364,PROPRIETARY,62
11190023,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,90023,GENERAL ACUTE CARE,OPEN,127,LOS ANGELES,USA,34.0236473,-118.1841648,PROPRIETARY,127
17090028,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028,GENERAL ACUTE CARE,OPEN,100,LOS ANGELES,USA,34.09639136,-118.3252349,PROPRIETARY,100
23691706,KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,GENERAL ACUTE CARE,OPEN,95,LOS ANGELES,USA,34.06303893,-117.9674378,PROPRIETARY,95
25190712,LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,90712,GENERAL ACUTE CARE,OPEN,172,LOS ANGELES,USA,33.85970662,-118.148403,PROPRIETARY,172
30791016,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,GENERAL ACUTE CARE,OPEN,49,LOS ANGELES,USA,34.14875866,-117.9926677,PROPRIETARY,49
30891754,MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,GENERAL ACUTE CARE,OPEN,101,LOS ANGELES,USA,34.04946606,-118.1382622,PROPRIETARY,101
47090505,STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,TORRANCE,CA,90505,PSYCHIATRIC,OPEN,16,LOS ANGELES,USA,33.82391446,-118.3560969,PROPRIETARY,16
9092879,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,92879,GENERAL ACUTE CARE,OPEN,78,RIVERSIDE,USA,33.85808331,-117.553858,PROPRIETARY,78
30696101,MODOC MEDICAL CENTER,228 MC DOWELL STREET,ALTURAS,CA,96101,GENERAL ACUTE CARE,OPEN,87,MODOC,USA,41.48005626,-120.545744,GOVERNMENT - LOCAL,87
38593901,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,GENERAL ACUTE CARE,OPEN,269,MONTEREY,USA,36.65903046,-121.6459838,GOVERNMENT - DISTRICT/AUTHORITY,269
12678414,CORPUS CHRISTI SPECIALTY HOSPITAL,1310 THIRD STREET,CORPUS CHRISTI,TX,78414,GENERAL ACUTE CARE,CLOSED,189,NUECES,USA,27.77851017,-97.39620831,PROPRIETARY,189
15992866,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,ORANGE,CA,92866,CHILDREN,OPEN,27,ORANGE,USA,33.78272717,-117.8338919,PROPRIETARY,27
16192680,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,TUSTIN,CA,92680,GENERAL ACUTE CARE,OPEN,48,ORANGE,USA,33.74746074,-117.8310556,PROPRIETARY,48
23792621,KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,92621,GENERAL ACUTE CARE,OPEN,86,ORANGE,USA,33.93449589,-117.8939488,PROPRIETARY,86
24392683,KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,GENERAL ACUTE CARE,OPEN,109,ORANGE,USA,33.76353321,-117.995256,PROPRIETARY,109
22093277,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,93277,GENERAL ACUTE CARE,OPEN,63,TULARE,USA,36.32084395,-119.3482345,GOVERNMENT - DISTRICT/AUTHORITY,63
1931537,CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,FOLKSTON,GA,31537,GENERAL ACUTE CARE,CLOSED,-999,CHARLTON,USA,30.84527535,-82.00505739,GOVERNMENT - DISTRICT/AUTHORITY,-999
